experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,instructions_key.keys,instructions_key.rt,rt,score,response_number,block_number,time,interval,response.keys,response.rt,break_key.keys,break_key.rt,closing_key.keys,closing_key.rt,date,frameRate,expName,session,participant,
,,,,space,3.2200551033,,,,,,,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.00306987762451,0,1,1,4.44500303268,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,16.5617389679,1,2,1,20.9959690571,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,8.95921015739,2,3,1,29.9550600052,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.88707089424,2,4,1,33.8423850536,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.350109100342,2,5,1,34.1925909519,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.851148843765,2,6,1,35.043585062,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.57014513016,2,7,1,38.6137480736,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,2.78478503227,2,8,1,41.3997910023,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,2.9875638485,2,9,1,44.3862519264,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.48566198349,2,10,1,47.8729879856,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.47466111183,3,11,1,54.3461039066,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.70537400246,4,12,1,60.0517289639,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.20414590836,4,13,1,64.2561590672,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.88741707802,4,14,1,68.1434650421,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.90599489212,5,15,1,74.0492999554,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.13811612129,6,16,1,79.187844038,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.85377883911,6,17,1,84.0424320698,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.43933701515,6,18,1,88.4802360535,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.93944406509,7,19,1,94.4196169376,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.95452809334,7,20,1,99.3747000694,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.50437092781,8,21,1,104.880125999,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.83911800385,9,22,1,110.719103098,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.68995809555,10,23,1,117.409753084,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.97266101837,11,24,1,123.382138014,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.42466187477,12,25,1,129.805218935,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.57325291634,13,26,1,136.378458023,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.7208981514,14,27,1,142.100552082,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.78964090347,14,28,1,146.889095068,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.62363100052,15,29,1,153.512356997,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.22163105011,16,30,1,158.734464884,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.08757209778,16,31,1,162.821719885,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.298891782761,16,32,1,163.122072935,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.80529403687,16,33,1,166.925855875,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.50462198257,16,34,1,171.430438995,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.57203507423,17,35,1,177.002753973,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.00477600098,18,36,1,183.008774042,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.79049301147,19,37,1,188.798182011,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.23865795135,20,38,1,194.036364079,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.1861770153,20,39,1,198.223901987,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.234684944153,20,40,1,198.457803011,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.58762717247,21,41,1,204.046815872,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.29144787788,22,42,1,210.336327076,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.48992204666,23,43,1,216.826240063,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.87256097794,24,44,1,222.698909998,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.03944993019,25,45,1,228.738266945,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.40608811378,26,46,1,235.144941092,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.88956093788,27,47,1,241.034054995,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.23830199242,28,48,1,247.273742914,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.92428398132,29,49,1,253.196402073,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.47367501259,30,50,1,259.669766903,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.40436005592,31,51,1,266.075640917,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,8.15783810616,32,52,1,274.234540939,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,8.25997591019,33,53,1,282.492848873,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,1.25112700462,33,54,1,283.744102001,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.65413498878,33,55,1,287.397842884,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,2.7359559536,33,56,1,290.133943081,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.13738203049,33,57,1,294.271465063,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.2899620533,34,58,1,300.561156034,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.20358490944,35,59,1,305.766553879,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.92515492439,36,60,1,312.690037966,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,1.61849808693,36,61,1,314.308538914,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,2.9179649353,36,62,1,317.228142023,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.80663514137,36,63,1,322.032998085,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.198603868484,36,64,1,322.233238935,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.27147507668,36,65,1,325.503321886,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,1.0663819313,36,66,1,326.570827007,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,2.65383505821,36,67,1,329.223500013,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,1.91749691963,36,68,1,331.142119884,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.73913598061,36,69,1,335.880409002,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.08951115608,37,70,1,342.970747948,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,1.23590302467,37,71,1,344.205276012,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.367390871048,37,72,1,344.572382927,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.266283988953,37,73,1,344.839468956,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.38704299927,37,74,1,348.226155996,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.7533800602,37,75,1,352.981158972,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.550862073898,37,76,1,353.531550884,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,10.1784749031,38,77,1,363.70856905,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.18944692612,39,78,1,369.898348093,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.23844718933,40,79,1,375.136976004,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.83795690536,41,80,1,380.976276875,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.4916601181,42,81,1,387.466099977,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.88895583153,43,82,1,393.355499029,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.27210712433,44,83,1,398.627547979,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.45579385757,45,84,1,404.082985878,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.37227296829,46,85,1,409.455097914,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.37049913406,47,86,1,414.827257872,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.34037804604,48,87,1,420.16602397,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.82108688354,48,88,1,425.004396915,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.39093995094,49,89,1,432.378661871,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.52412009239,50,90,1,439.902968884,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,8.6744890213,51,91,1,448.578341007,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,8.07657003403,52,92,1,456.653214931,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.72186994553,53,93,1,463.376745939,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.40467596054,53,94,1,466.780219078,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.283713102341,53,95,1,467.063930988,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.534025907516,53,96,1,467.597807884,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,1.01598715782,53,97,1,468.61561203,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.318623781204,53,98,1,468.932615995,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,3.70381999016,53,99,1,472.636538029,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.20433712006,53,100,1,476.840775013,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.43997192383,54,101,1,483.280679941,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.60499405861,55,102,1,489.887388945,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.50924992561,56,103,1,497.395063877,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,11.026692152,57,104,1,508.422969103,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.60773897171,58,105,1,516.030860901,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.47576093674,59,106,1,523.504951,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.231987953186,59,107,1,523.738581896,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.868981122971,59,108,1,524.606021881,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,9.37656092644,60,109,1,533.982584953,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.52396798134,61,110,1,541.523566961,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,12.2944390774,62,111,1,553.802725077,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,0.251000881195,62,112,1,554.053107023,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.62465715408,63,113,1,560.676362991,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.82305693626,64,114,1,568.500957012,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,4.97163009644,64,115,1,573.472797871,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.77379393578,65,116,1,580.246273994,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,5.92250084877,66,117,1,586.1692729,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,6.15790104866,67,118,1,592.325443983,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,7.17203211784,68,119,1,599.49928689,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
0,0,0,0,,,,,,,,,"['space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space', 'space']","[0.0030698776245117188, 16.56480884552002, 25.52401900291443, 29.41108989715576, 29.76119899749756, 30.612347841262817, 34.18249297142029, 36.96727800369263, 39.95484185218811, 43.4405038356781, 49.915164947509766, 55.62053894996643, 59.824684858322144, 63.71210193634033, 69.6180968284607, 74.75621294975281, 79.60999178886414, 84.04932880401611, 89.98877286911011, 94.94330096244812, 100.44767189025879, 106.286789894104, 112.97674798965454, 118.94940900802612, 125.37407088279724, 131.9473237991333, 137.668221950531, 142.4578628540039, 149.0814938545227, 154.30312490463257, 158.3906970024109, 158.6895887851715, 162.49488282203674, 166.9995048046112, 172.57153987884521, 178.57631587982178, 184.3668088912964, 189.60546684265137, 193.79164385795593, 194.02632880210876, 199.61395597457886, 205.90540385246277, 212.39532589912415, 218.26788687705994, 224.30733680725098, 230.71342492103577, 236.60298585891724, 242.84128785133362, 248.76557183265686, 255.23924684524536, 261.6436069011688, 269.8014450073242, 278.061420917511, 279.3125479221344, 282.9666829109192, 285.7026388645172, 289.8400208950043, 296.1299829483032, 301.3335678577423, 308.258722782135, 309.87722086906433, 312.79518580436707, 317.60182094573975, 317.80042481422424, 321.07189989089966, 322.1382818222046, 324.79211688041687, 326.7096138000488, 331.4487497806549, 338.53826093673706, 339.7741639614105, 340.1415548324585, 340.40783882141113, 343.7948818206787, 348.54826188087463, 349.09912395477295, 359.27759885787964, 365.4670457839966, 370.70549297332764, 376.5434498786926, 383.03510999679565, 388.92406582832336, 394.196172952652, 399.65196681022644, 405.0242397785187, 410.3947389125824, 415.73511695861816, 420.5562038421631, 427.9471437931061, 435.47126388549805, 444.1457529067993, 452.2223229408264, 458.94419288635254, 462.3488688468933, 462.632581949234, 463.1666078567505, 464.18259501457214, 464.50121879577637, 468.20503878593445, 472.4093759059906, 478.8493478298187, 485.45434188842773, 492.96359181404114, 503.99028396606445, 511.59802293777466, 519.0737838745117, 519.3057718276978, 520.1747529506683, 529.5513138771057, 537.0752818584442, 549.3697209358215, 549.6207218170166, 556.2453789710999, 564.0684359073639, 569.0400660037994, 575.8138599395752, 581.7363607883453, 587.8942618370056, 595.0662939548492]",space,71.4723060131,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,5.23475599289,69,1,2,682.415981054,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,6.17290902138,70,2,2,688.588913918,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,5.4205429554,71,3,2,694.011281967,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,6.44134688377,72,4,2,700.451199055,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,7.29123997688,73,5,2,707.741697073,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,11.4783010483,74,6,2,719.219997883,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,8.44187617302,75,7,2,727.661916971,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,6.88989186287,76,8,2,734.552447081,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,0.684068918228,76,9,2,735.23632288,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,0.600750207901,76,10,2,735.836963892,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,7.05559492111,77,11,2,742.894267082,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,8.04148387909,78,12,2,750.935755014,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,7.14185404778,79,13,2,758.076389074,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,9.24292993546,80,14,2,767.319185972,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,7.13931417465,81,15,2,774.459810972,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,1.48664689064,81,16,2,775.944318056,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
1,0,1,0,,,6.25547909737,82,17,2,782.200890064,5,,,,,,,2017_Jul_18_1243,59.9057060548,DRL_task,1,104,
