experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,instructions_key.keys,instructions_key.rt,rt,score,response_number,block_number,time,interval,response.keys,response.rt,break_key.keys,break_key.rt,closing_key.keys,closing_key.rt,date,frameRate,expName,session,participant,
,,,,space,7.29423093796,,,,,,,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,2.6779820919,0,1,1,11.1668131351,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.47263097763,0,2,1,15.6381220818,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.37151002884,0,3,1,20.0095369816,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,11.3785250187,1,4,1,31.3881480694,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,15.6501288414,2,5,1,47.0380270481,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,2.43573021889,2,6,1,49.4738349915,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,2.56916880608,2,7,1,52.0431771278,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,2.30253601074,2,8,1,54.3456561565,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.95296502113,2,9,1,58.2995131016,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.30481505394,2,10,1,61.6031291485,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,1.80181503296,2,11,1,63.4048771858,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,2.83659386635,2,12,1,66.2413351536,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.06978011131,2,13,1,69.3112421036,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.23536109924,2,14,1,72.5480051041,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.30711388588,3,15,1,77.8536951542,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.52231097221,4,16,1,83.3762331009,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.1372179985,4,17,1,87.513928175,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.03811693192,4,18,1,91.5515880585,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.82160305977,4,19,1,96.3731510639,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.27135515213,4,20,1,100.644361019,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.13886380196,5,21,1,105.7830832,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.67226600647,6,22,1,111.455899,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.37236404419,7,23,1,116.828266144,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.22250008583,8,24,1,122.050245047,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.48646688461,8,25,1,125.537412167,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.48931217194,9,26,1,131.026277065,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,6.40562486649,10,27,1,137.433151007,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.83724498749,10,28,1,141.270522118,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.98983693123,10,29,1,146.259263039,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.50602006912,11,30,1,151.76506114,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,6.23968505859,12,31,1,158.004968166,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.35625600815,13,32,1,163.360553026,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,4.72094988823,13,33,1,168.082308054,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,5.83986020088,14,34,1,173.921849012,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,6.00627779961,15,35,1,179.928111076,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,3.33662509918,15,36,1,183.265093088,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
0,0,0,0,,,0.600938081741,15,37,1,183.865643978,5,,,,,,,2017_Jul_05_1445,59.8605638245,DRL_task,1,100,
