experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,instructions_key.keys,instructions_key.rt,rt,score,response_number,block_number,time,interval,response.keys,response.rt,break_key.keys,break_key.rt,closing_key.keys,closing_key.rt,date,frameRate,expName,session,participant,
,,,,space,10.9985489845,,,,,,,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,3.57451200485,0,1,1,16.0533480644,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,5.58859014511,1,2,1,21.6426100731,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,6.04063487053,2,3,1,27.6830689907,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.12135195732,2,4,1,31.8040859699,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,5.83908295631,3,5,1,37.6439640522,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.20344018936,3,6,1,41.8482451439,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.82305192947,3,7,1,46.6703801155,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,6.94110703468,4,8,1,53.6115620136,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,3.83765292168,4,9,1,57.4493191242,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.83890199661,4,10,1,62.2879049778,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,6.10675501823,5,11,1,68.3945610523,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,5.339220047,6,12,1,73.733798027,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.08781695366,6,13,1,77.8215990067,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,5.37277412415,7,14,1,83.1940920353,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.90525484085,7,15,1,88.0994820595,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,4.95547795296,7,16,1,93.0551371574,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,6.19033622742,8,17,1,99.24508214,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,5.62268686295,9,18,1,104.868162155,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
0,0,0,0,,,5.15580296516,10,19,1,110.023607969,5,,,,,,,2017_Jul_18_1058,59.9459467958,DRL_task,1,103,
