trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,0.51805305481,1.39761595113,3,0.00140309333801,1,1,1,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
0,0,0,0,right,2.17255401611,1.39761595113,3,0.00140309333801,1,1,1,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
0,0,0,0,,,,,,,,,,"['left', 'right']","[0.5180530548095703, 2.1725540161132812]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
1,0,1,0,left,0.31800198555,0.956010727691,2,5.4034640789,1,2,1,False,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
1,0,1,0,right,1.73725700378,0.956010727691,2,5.4034640789,1,2,1,False,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
1,0,1,0,,,,,,,,,,"['left', 'right']","[0.31800198554992676, 1.7372570037841797]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
2,0,2,0,left,0.417616844177,0.724201482989,3,9.37823200226,1,3,2,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
2,0,2,0,right,2.17239999771,0.724201482989,3,9.37823200226,1,3,2,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
2,0,2,0,,,,,,,,,,"['left', 'right']","[0.4176168441772461, 2.1723999977111816]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
3,0,3,0,left,0.568549871445,1.23737584602,3,14.1217560768,1,4,3,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
3,0,3,0,right,2.40540504456,1.23737584602,3,14.1217560768,1,4,3,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
3,0,3,0,,,,,,,,,,"['left', 'right']","[0.5685498714447021, 2.405405044555664]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
4,0,4,0,left,0.301906108856,1.02380554028,3,19.3670032024,1,5,4,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
4,0,4,0,right,2.12317800522,1.02380554028,3,19.3670032024,1,5,4,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
4,0,4,0,,,,,,,,,,"['left', 'right']","[0.30190610885620117, 2.123178005218506]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
5,0,5,0,left,0.3868060112,1.2452480526,3,24.4105842113,1,6,5,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
5,0,5,0,right,2.4890639782,1.2452480526,3,24.4105842113,1,6,5,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
5,0,5,0,,,,,,,,,,"['left', 'right']","[0.38680601119995117, 2.4890639781951904]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
6,0,6,0,left,0.536894083023,0.985305643611,3,29.6720180511,1,7,6,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
6,0,6,0,right,2.57262587547,0.985305643611,3,29.6720180511,1,7,6,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
6,0,6,0,,,,,,,,,,"['left', 'right']","[0.5368940830230713, 2.5726258754730225]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
7,0,7,0,left,0.451135873795,0.71970191488,2,34.6657581329,1,8,7,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
7,0,7,0,,,,,,,,,,['left'],[0.45113587379455566],2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
8,0,8,0,left,0.0166299343109,1.36079732931,3,38.3895971775,1,9,8,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
8,0,8,0,right,2.60724306107,1.36079732931,3,38.3895971775,1,9,8,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
8,0,8,0,,,,,,,,,,"['left', 'right']","[0.016629934310913086, 2.607243061065674]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
9,0,9,0,left,0.417589902878,0.586652198444,3,43.7686870098,1,10,9,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
9,0,9,0,right,2.90744185448,0.586652198444,3,43.7686870098,1,10,9,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
9,0,9,0,,,,,,,,,,"['left', 'right']","[0.4175899028778076, 2.9074418544769287]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
10,0,10,0,left,0.116665840149,1.29328944112,3,48.3620321751,1,11,10,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
10,0,10,0,right,2.05349993706,1.29328944112,3,48.3620321751,1,11,10,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
10,0,10,0,,,,,,,,,,"['left', 'right']","[0.11666584014892578, 2.053499937057495]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
11,0,11,0,left,0.0526900291443,0.861410930578,3,53.673415184,1,12,11,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
11,0,11,0,right,1.97214603424,0.861410930578,3,53.673415184,1,12,11,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
11,0,11,0,,,,,,,,,,"['left', 'right']","[0.05269002914428711, 1.9721460342407227]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
12,0,12,0,left,0.487026929855,1.03271146863,3,58.5501170158,1,13,12,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
12,0,12,0,right,2.02184486389,1.03271146863,3,58.5501170158,1,13,12,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
12,0,12,0,,,,,,,,,,"['left', 'right']","[0.4870269298553467, 2.0218448638916016]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
13,0,13,0,left,0.253172874451,1.21390253874,3,63.593832016,1,14,13,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
13,0,13,0,right,2.33882379532,1.21390253874,3,63.593832016,1,14,13,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
13,0,13,0,,,,,,,,,,"['left', 'right']","[0.2531728744506836, 2.3388237953186035]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
14,0,14,0,left,0.537086009979,0.688300680392,2,68.8219110966,1,15,14,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
14,0,14,0,,,,,,,,,,['left'],[0.537086009979248],2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
15,0,15,0,left,0.535418987274,0.76055984126,3,72.53028512,1,16,15,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
15,0,15,0,right,2.37396502495,0.76055984126,3,72.53028512,1,16,15,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
15,0,15,0,,,,,,,,,,"['left', 'right']","[0.5354189872741699, 2.37396502494812]",2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
16,0,16,0,left,0.536926031113,0.661595440765,2,77.3071072102,1,17,16,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
16,0,16,0,,,,,,,,,,['left'],[0.5369260311126709],2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
17,0,17,0,left,0.736054897308,1.18362492329,3,80.9816360474,1,18,17,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
17,0,17,0,right,2.35558009148,1.18362492329,3,80.9816360474,1,18,17,True,,,2016_Mar_15_1450,59.6979168446,switch_task,001,FB,
