trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,left,0.771880865097,0.996578390279,2,0.00140118598938,1,1,1,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
0,0,0,0,,,,,,,,,,['left'],[0.7718808650970459],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
1,0,1,0,left,0.317208051682,1.30628700428,2,4.0153169632,1,2,2,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
1,0,1,0,,,,,,,,,,['left'],[0.31720805168151855],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
2,0,2,0,left,0.35086607933,0.967212472681,2,8.3414940834,1,3,3,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
2,0,2,0,,,,,,,,,,['left'],[0.35086607933044434],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
3,0,3,0,left,0.352072000504,1.47882573387,3,12.3166439533,1,4,4,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
3,0,3,0,right,2.45780801773,1.47882573387,3,12.3166439533,1,4,4,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
3,0,3,0,,,,,,,,,,"['left', 'right']","[0.35207200050354004, 2.457808017730713]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
4,0,4,0,left,0.282932043076,1.39915123888,3,17.8119809628,1,5,5,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
4,0,4,0,right,2.52342987061,1.39915123888,3,17.8119809628,1,5,5,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
4,0,4,0,,,,,,,,,,"['left', 'right']","[0.2829320430755615, 2.5234298706054688]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
5,0,5,0,left,0.30087685585,1.09385628852,2,23.2228519917,1,6,6,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
5,0,5,0,,,,,,,,,,['left'],[0.3008768558502197],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
6,0,6,0,left,0.333336114883,1.19860348386,3,27.3326530457,1,7,7,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
6,0,6,0,right,2.28883314133,1.19860348386,3,27.3326530457,1,7,7,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
6,0,6,0,,,,,,,,,,"['left', 'right']","[0.33333611488342285, 2.2888331413269043]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
7,0,7,0,left,0.351378917694,0.858329671362,3,32.5428140163,1,8,8,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
7,0,7,0,right,2.84023690224,0.858329671362,3,32.5428140163,1,8,8,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
7,0,7,0,,,,,,,,,,"['left', 'right']","[0.3513789176940918, 2.8402369022369385]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
8,0,8,0,left,0.284838199615,0.929138761795,3,37.4194290638,1,9,9,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
8,0,8,0,right,2.70616102219,0.929138761795,3,37.4194290638,1,9,9,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
8,0,8,0,,,,,,,,,,"['left', 'right']","[0.2848381996154785, 2.7061610221862793]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
9,0,9,0,left,0.23410987854,1.40144731587,2,42.3638880253,1,10,10,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
9,0,9,0,,,,,,,,,,['left'],[0.23410987854003906],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
10,0,10,0,left,0.352053165436,1.40104395865,2,46.7736680508,1,11,11,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
10,0,10,0,,,,,,,,,,['left'],[0.352053165435791],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
11,0,11,0,right,0.0691061019897,0.97185980646,2,51.1832680702,1,12,11,False,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
11,0,11,0,,,,,,,,,,['right'],[0.0691061019897461],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
12,0,12,0,left,0.286103010178,1.49736874057,3,55.1748120785,1,13,11,False,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
12,0,12,0,,,,,,,,,,['left'],[0.2861030101776123],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
13,0,13,0,nan,nan,1.39503656208,3,60.6871011257,1,14,11,False,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
13,0,13,0,,,,,,,,,,[nan],[nan],2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
14,0,14,0,left,0.351835012436,0.903680486718,3,66.0985620022,1,15,12,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
14,0,14,0,right,1.78776907921,0.903680486718,3,66.0985620022,1,15,12,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
14,0,14,0,,,,,,,,,,"['left', 'right']","[0.3518350124359131, 1.787769079208374]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
15,0,15,0,left,0.351162910461,0.626040855518,3,71.0086011887,1,16,13,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
15,0,15,0,right,2.22168898582,0.626040855518,3,71.0086011887,1,16,13,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
15,0,15,0,,,,,,,,,,"['left', 'right']","[0.3511629104614258, 2.221688985824585]",2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
16,0,16,0,left,0.319447040558,1.29908735598,3,75.6517651081,1,17,14,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
16,0,16,0,right,2.18784999847,1.29908735598,3,75.6517651081,1,17,14,True,,,2016_Mar_15_1445,59.9014283042,switch_task,001,DMF,
