trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,response.keys,response.rt,date,frameRate,expName,session,participant,
19,0,19,0,left,0.335140943527,1.28777871167,3,84.4980649948,1,20,18,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
19,0,19,0,right,1.70410490036,1.28777871167,3,84.4980649948,1,20,18,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
19,0,19,0,,,,,,,,,,"['left', 'right']","[0.3351409435272217, 1.7041049003601074]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
20,0,20,0,left,0.401687145233,0.578754874459,3,89.7927041054,1,21,19,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
20,0,20,0,right,2.37273001671,0.578754874459,3,89.7927041054,1,21,19,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
20,0,20,0,,,,,,,,,,"['left', 'right']","[0.4016871452331543, 2.372730016708374]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
21,0,21,0,left,0.61852312088,1.25676281281,3,94.3854250908,1,22,20,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
21,0,21,0,right,2.67491912842,1.25676281281,3,94.3854250908,1,22,20,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
21,0,21,0,,,,,,,,,,"['left', 'right']","[0.618523120880127, 2.6749191284179688]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
22,0,22,0,left,0.234354972839,1.48657653452,3,99.6470701694,1,23,21,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
22,0,22,0,right,1.75431799889,1.48657653452,3,99.6470701694,1,23,21,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
22,0,22,0,,,,,,,,,,"['left', 'right']","[0.23435497283935547, 1.7543179988861084]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
23,0,23,0,left,0.133852958679,0.531744107969,3,105.141621113,1,24,22,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
23,0,23,0,right,2.67284989357,0.531744107969,3,105.141621113,1,24,22,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
23,0,23,0,,,,,,,,,,"['left', 'right']","[0.13385295867919922, 2.6728498935699463]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
24,0,24,0,left,0.685286045074,1.0518051737,3,109.685076952,1,25,22,False,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
24,0,24,0,,,,,,,,,,['left'],[0.6852860450744629],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
25,0,25,0,left,0.501933813095,0.634089280361,3,114.745887041,1,26,23,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
25,0,25,0,right,2.65610289574,0.634089280361,3,114.745887041,1,26,23,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
25,0,25,0,,,,,,,,,,"['left', 'right']","[0.5019338130950928, 2.6561028957366943]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
26,0,26,0,left,1.88796401024,1.08780070288,2,119.389121056,1,27,24,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
26,0,26,0,,,,,,,,,,['left'],[1.8879640102386475],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
27,0,27,0,left,0.284328937531,1.26593318282,2,123.497845173,1,28,25,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
27,0,27,0,,,,,,,,,,['left'],[0.2843289375305176],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
28,0,28,0,left,0.367939949036,1.02988776096,2,127.773679972,1,29,26,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
28,0,28,0,,,,,,,,,,['left'],[0.36793994903564453],2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
29,0,29,0,left,0.417627811432,1.03270251355,3,131.81561017,1,30,27,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
29,0,29,0,right,1.92171096802,1.03270251355,3,131.81561017,1,30,27,True,,,2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
29,0,29,0,,,,,,,,,,"['left', 'right']","[0.41762781143188477, 1.9217109680175781]",2016_Mar_15_1448,59.8379328448,switch_task,002,DMF,
