task_segments.thisRepN,task_segments.thisTrialN,task_segments.thisN,task_segments.thisIndex,task_segments.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,instructions_key.keys,instructions_key.rt,response,response_time,ISI,interval,time,block_number,trial_number,score,correct,p_short,v_short,c_short,v_long,c_long,response.keys,response.rt,date,frameRate,expName,session,participant,
0,0,0,0,None,12,0,12,0,None,,,left,1.23848390579,0.852330277452,3,79.8281471729,1,13,8,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,12,0,12,0,None,,,,,,,,,,,,,,,,,['left'],[1.2384839057922363],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,13,0,13,0,None,,,left,0.536695957184,1.42952498652,2,86.1562411785,1,14,9,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,13,0,13,0,None,,,,,,,,,,,,,,,,,['left'],[0.5366959571838379],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,14,0,14,0,None,,,left,0.401953935623,1.2364281645,3,92.0192680359,1,15,10,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,14,0,14,0,None,,,right,2.25668406487,1.2364281645,3,92.0192680359,1,15,10,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,14,0,14,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.40195393562316895, 2.2566840648651123]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,15,0,15,0,None,,,left,0.635406017303,0.656198134945,3,98.7020430565,1,16,11,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,15,0,15,0,None,,,right,2.87222504616,0.656198134945,3,98.7020430565,1,16,11,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,15,0,15,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.6354060173034668, 2.872225046157837]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,16,0,16,0,None,,,left,0.368484973907,1.20917037554,2,104.796480179,1,17,12,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,16,0,16,0,None,,,,,,,,,,,,,,,,,['left'],[0.3684849739074707],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,17,0,17,0,None,,,left,0.470193862915,0.960612759728,3,110.467789173,1,18,13,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,17,0,17,0,None,,,right,2.69048905373,0.960612759728,3,110.467789173,1,18,13,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,17,0,17,0,None,,,,,,,,,,,,,,,,,"['left', 'right']","[0.47019386291503906, 2.6904890537261963]",2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,18,0,18,0,None,,,left,0.585886955261,1.03371333594,2,117.016740084,1,19,14,True,0.5,1,0,1,0,,,2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
0,0,0,0,None,18,0,18,0,None,,,,,,,,,,,,,,,,,['left'],[0.5858869552612305],2016_Mar_16_1025,59.7885457783,switch_task,001,DMF,
