trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,Fixed_Interval_Loop.thisRepN,Fixed_Interval_Loop.thisTrialN,Fixed_Interval_Loop.thisN,Fixed_Interval_Loop.thisIndex,Peak_Interval_Loop.thisRepN,Peak_Interval_Loop.thisTrialN,Peak_Interval_Loop.thisN,Peak_Interval_Loop.thisIndex,feedback_Loop.thisRepN,feedback_Loop.thisTrialN,feedback_Loop.thisN,feedback_Loop.thisIndex,Break_Loop.thisRepN,Break_Loop.thisTrialN,Break_Loop.thisN,Break_Loop.thisIndex,Fixed_Interval_Loop.thisTrial,instructions_key.keys,instructions_key.rt,fixed_response.keys,fixed_response.rt,trial_number,is_fi_trial,is_pi_trial,response_time,score,total_score,reward,cost,peak_response.keys,peak_response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,space,4.64865493774,,,,,,,,,,,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,0,0,0,0,,,,,,,,,,,,,None,,,"['space', 'space', 'space', 'space', 'space']","[2.0167391300201416, 2.232461929321289, 2.4011380672454834, 2.585400104522705, 3.0689079761505127]",,,,,,,,,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,False,2.01673913002,0.6,0.6,1,0.1,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,False,2.23246192932,0.6,0.6,1,0.1,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,False,2.40113806725,0.6,0.6,1,0.1,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,False,2.58540010452,0.6,0.6,1,0.1,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,1,1,False,3.06890797615,0.6,0.6,1,0.1,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
1,0,1,0,None,0,0,0,0,,,,,,,,,,,,,None,,,"['space', 'space', 'space', 'space', 'space', 'space']","[0.00024318695068359375, 2.0835721492767334, 2.3004720211029053, 2.4508731365203857, 2.9518990516662598, 3.1355831623077393]",,,,,,,,,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,2,1,False,0.000243186950684,0.5,1.1,1,0.1,,,2016_May_04_1307,59.8826989521,Peak_procedure,002,DMF,
