trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,Fixed_Interval_Loop.thisRepN,Fixed_Interval_Loop.thisTrialN,Fixed_Interval_Loop.thisN,Fixed_Interval_Loop.thisIndex,Peak_Interval_Loop.thisRepN,Peak_Interval_Loop.thisTrialN,Peak_Interval_Loop.thisN,Peak_Interval_Loop.thisIndex,feedback_Loop.thisRepN,feedback_Loop.thisTrialN,feedback_Loop.thisN,feedback_Loop.thisIndex,Break_Loop.thisRepN,Break_Loop.thisTrialN,Break_Loop.thisN,Break_Loop.thisIndex,instructions_key.keys,instructions_key.rt,fixed_response.keys,fixed_response.rt,trial_number,is_fi_trial,is_pi_trial,response_time,score,total_score,reward,cost,peak_response.keys,peak_response.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,space,8.92863988876,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
0,0,0,0,None,0,0,0,0,,,,,,,,,,,,,,,['space'],[8.858980894088745],,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,1,1,False,8.85898089409,1,1,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
0,0,0,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
1,0,1,0,None,0,0,0,0,,,,,,,,,,,,,,,"['space', 'space', 'space']","[0.00025200843811035156, 2.907796859741211, 3.0764968395233154]",,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,2,1,False,0.00025200843811,0.8,1.8,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,2,1,False,2.90779685974,0.8,1.8,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,2,1,False,3.07649683952,0.8,1.8,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
1,0,1,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,0,0,0,0,,,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space']","[0.00024390220642089844, 2.5115089416503906, 2.610377788543701, 2.7786099910736084, 3.3467259407043457]",,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,0,0,0,0,,,,,,,,,3,1,False,0.000243902206421,0.6,2.4,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,0,0,0,0,,,,,,,,,3,1,False,2.51150894165,0.6,2.4,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,0,0,0,0,,,,,,,,,3,1,False,2.61037778854,0.6,2.4,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,0,0,0,0,,,,,,,,,3,1,False,2.77860999107,0.6,2.4,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,0,0,0,0,,,,,,,,,3,1,False,3.3467259407,0.6,2.4,1,0.1,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
2,0,2,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
3,0,3,0,None,0,0,0,0,,,,,,,,,,,,,,,"['space', 'space', 'space', 'space', 'space']","[2.467824935913086, 2.6343369483947754, 2.7850570678710938, 2.9183311462402344, 3.286306142807007]",,,,,,,,,,,2016_May_04_1312,59.8942430582,Peak_procedure,001,FB,
